State,Estimated or Actual 2018 Total Ballots Counted VEP Turnout Rate,2018 Vote for Highest Office VEP Turnout Rate,Status,Source,Estimated or Actual 2018 Total Ballots Counted,2018 Vote for Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,State Abv
United States,50.00%,49.40%,,,"118,581,921","117,069,210","237,089,672","255,801,552",7.90%,"1,416,810","2,126,035","494,442","3,264,172","4,793,402",
Alabama,47.00%,46.90%,Certified,https://www.sos.alabama.gov/sites/default/files/voter-pdfs/2018/2018-Official-General-Election-Results-Certified-2018-11-27.pdf,"1,721,906","1,719,589","3,666,511","3,820,544",2.30%,"28,680","52,177","8,562","66,983",,AL
Alaska,54.80%,54.50%,Official,http://www.elections.alaska.gov/results/18GENR/,"285,009","283,134","519,913","551,451",3.90%,"4,317","6,621","1,812","9,903",,AK
Arizona,47.40%,46.90%,Certified,https://azsos.gov/sites/default/files/2018%201203%20Signed%20Official%20Statewide%20Canvass.pdf,"2,409,910","2,384,308","5,082,126","5,678,479",8.90%,"37,582","77,373","7,500","89,185",,AZ
Arkansas,41.30%,41.00%,Official,https://results.enr.clarityelections.com/AR/92174/Web02-state.220747/#/,"898,793","891,509","2,176,226","2,321,029",3.70%,"17,242","30,881","23,792","58,636",,AR
California,49.30%,48.30%,Certified,https://www.sos.ca.gov/elections/prior-elections/statewide-election-results/general-election-november-6-2018/statement-vote/,"12,712,542","12,464,235","25,782,389","30,659,000",15.50%,"130,390",0,0,"130,390",,CA
Colorado,61.40%,60.00%,Certified,https://results.enr.clarityelections.com/CO/91808/Web02-state.220747/#/,"2,583,580","2,525,062","4,210,816","4,523,289",6.30%,"18,576",0,"10,186","28,762",,CO
Connecticut,54.80%,54.20%,Certified,https://ctemspublic.pcctg.net/#/home,"1,421,953","1,406,803","2,597,134","2,838,275",7.90%,"14,475",0,"3,379","17,854",,CT
Delaware,51.20%,50.80%,Certified,https://elections.delaware.gov/results/html/election.shtml,"365,467","362,592","713,781","772,850",5.60%,"6,254","15,395",387,"15,416",,DE
District of Columbia,43.70%,42.40%,Certified,https://electionresults.dcboe.org/election_results/2018-General-Election,"231,482","224,658","529,560","578,702",8.50%,0,0,0,0,,DC
